Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,India,IND,..,8662.443882,19847.63863,20870.18375,21902.46574,22173.16645,21151.78928,22095.29914,22614.73408,23679.83333,24430.11796,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Indonesia,IDN,..,13753.38389,24358.59881,24981.54896,25734.2243,26237.97265,25884.27877,27058.28349,27580.80215,28184.30351,29216.717,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,"Iran, Islamic Rep.",IRN,..,44963.73007,55368.13027,54719.85379,51842.68692,49633.37788,54023.78295,55804.38094,57844.64328,57914.83421,59472.05912,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Iraq,IRQ,..,58255.62864,65120.47268,65649.73721,66758.15848,70116.12024,61428.30535,61825.42499,61342.98675,59477.15554,57001.62899,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Ireland,IRL,..,111436.3913,180267.4743,192445.9989,200807.5906,204448.486,221355.0696,244977.244,248482.4169,229644.3782,234912.8103,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Israel,ISR,..,85093.50066,93527.55085,95341.86077,97067.50557,99127.41337,98141.98128,106291.2426,106857.282,104448.6343,103283.7079,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Italy,ITA,..,137760.0135,127855.9034,128328.0675,127537.4261,127844.9627,119219.5091,130053.4562,132513.1388,130817.5459,130388.0658,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Jamaica,JAM,..,23294.45623,22239.51252,21980.90013,21942.24965,21553.08243,20543.46375,20945.63151,21263.52459,20923.48966,20740.56777,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Japan,JPN,..,76595.17017,86240.91,86700.15361,85515.46895,84299.25242,81349.26928,83620.40255,83825.89647,84722.5219,84353.79095,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Jordan,JOR,..,39672.5246,43117.19253,43034.34275,43863.26325,42641.96379,41630.03673,43813.74105,43116.03826,40773.85206,41201.04618,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Kazakhstan,KAZ,..,28873.98686,64036.00306,66043.95514,68057.45632,70309.86343,68707.88496,71330.22558,71292.61516,73513.36922,75823.72924,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Kenya,KEN,..,9893.015674,11274.66461,11781.36769,12558.14783,13354.33672,13155.64017,13686.68184,13910.86779,14258.97618,14523.16539,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Kiribati,KIR,..,..,..,..,..,..,..,..,..,..,..,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,"Korea, Dem. People's Rep.",PRK,..,..,..,..,..,..,..,..,..,..,..,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,"Korea, Rep.",KOR,..,57329.61583,88154.25427,90163.50464,92692.62224,93750.54606,93905.86527,97284.84289,96960.03056,97026.60072,98258.57414,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..,..
